序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
414,000950,重药控股,重药控股股份有限公司,重庆,重庆市,--,--,12498,1999-09-16,--,,氮肥,医药批发、医药零售,医药流通业务。
415,000951,中国重汽,中国重汽集团济南卡车股份有限公司,山东,济南市,560.99亿,16.69亿,7077,1999-11-25,--,,商用车,汽车制造,从事重型载重汽车、重型专用车底盘、车桥等汽车配件的制造及销售业务。
416,000952,广济药业,湖北广济药业股份有限公司,湖北,黄冈市,8.37亿,1.06亿,1317,1999-11-12,--,,化学原料药,原料系列产品、制剂系列产品,维生素原料产品的研发、生产和销售。
417,000953,河化股份,广西河池化工股份有限公司,广西,河池市,--,--,188,1999-12-02,--,,氮肥,医药中间体、尿素,医药中间体的研发、生产与销售业务以及尿素委托加工销售业务。
418,000955,欣龙控股,欣龙控股(集团)股份有限公司,海南,澄迈县,--,--,960,1999-12-09,--,,家纺,水刺产品、无纺深加工产品、热轧及服衬产品、熔纺无纺布、磷化工产品、贸易业务、医疗收入,从事非织造材料、磷化工业务
419,000957,中通客车,中通客车股份有限公司,山东,聊城市,--,--,4583,2000-01-13,--,,商用车,客车制造业,以客车为主兼顾零部件产品的开发、制造和销售。
420,000958,东方能源,国家电投集团东方新能源股份有限公司,河北,石家庄市,--,--,2836,1999-12-23,--,,其他发电,金融业务、能源业务,清洁能源发电及热电联产等业务，还涵盖财务公司、保险经纪、信托、期货、保险等多项金融业务。
421,000959,首钢股份,北京首钢股份有限公司,北京,北京市,--,--,18166,1999-12-16,--,,普钢,冶金,钢铁冶炼、钢压延加工、技术开发、技术咨询、技术转让、技术服务、技术培训。
422,000960,锡业股份,云南锡业股份有限公司,云南,红河哈尼族彝族自治州,--,--,15379,2000-02-21,--,,锡,锡锭、锡材、锡化工、铜产品、锌产品、贸易产品,锡、锌、铜、铟等金属矿的勘探、开采、选矿和冶炼及锡的深加工。
423,000961,中南建设,江苏中南建设集团股份有限公司,江苏,南通市,--,--,46615,2000-03-01,--,,专业工程,房地产开发、建筑施工、酒店,房地产开发和建筑施工。
424,000962,东方钽业,宁夏东方钽业股份有限公司,宁夏,石嘴山市,7.95亿,8895.51万,1122,2000-01-20,--,,其他金属新材料,有色金属材料,稀有金属钽、铌、铍及合金等的研发、生产、销售和进出口业务。
425,000963,华东医药,华东医药股份有限公司,浙江,杭州市,--,--,11359,2000-01-27,--,,医药商业,中药肾病系列、糖尿病系列、免疫抑制剂系列、消化道系列、心脑血管系列,覆盖医药全产业链，以医药工业为主导，同时拓展医药商业和医美产业，集医药研发、生产、经销。
426,000965,天保基建,天津天保基建股份有限公司,天津,天津市,--,--,115,2000-04-06,--,,房地产开发,房地产销售、物业出租、物业管理,房地产开发、物业出租、物业管理等业务。
427,000966,长源电力,国家能源集团长源电力股份有限公司,湖北,武汉市,--,--,3063,2000-03-16,--,,火电,电力、热力,电力、热力生产和经营。
428,000967,盈峰环境,盈峰环境科技集团股份有限公司,浙江,绍兴市,--,--,8725,2000-03-30,--,,电工机械制造,传统环卫装备、新能源环卫装备、环卫服务,以“智慧环卫”为核心，为客户在城乡保洁消毒、生活垃圾分类、固废垃圾清扫运处、环卫人员管理、餐厨垃圾收运、渣土运输监管、渗滤液处理、智慧城市建设等领域提供全新维度的全生命周期物联网集成应用解决方案和智慧平台运营服务。
429,000968,蓝焰控股,山西蓝焰控股股份有限公司,山西,太原市,--,--,2068,2000-06-22,--,,煤炭开采洗选,煤层气(煤矿瓦斯),煤矿瓦斯治理及煤层气勘探、开发与利用业务。
430,000969,安泰科技,安泰科技股份有限公司,北京,北京市,62.72亿,2.61亿,5566,2000-05-29,--,,其他金属新材料,高端粉末冶金材料及制品产业、先进功能材料及器件产业,先进金属材料的研发、生产与销售，包括能源用先进材料及制品，特种材料制品及装备，超硬材料及工具三个领域。
431,000970,中科三环,北京中科三环高技术股份有限公司,北京,北京市,71.46亿,4.77亿,5537,2000-04-20,--,,磁性材料,钕铁硼永磁材料、电动自行车,稀土永磁材料和新型磁性材料及其应用产品的研究开发、生产和销售。
432,000971,ST高升,高升控股股份有限公司,湖北,仙桃市,--,--,822,2000-04-27,--,,云服务(含IDC、CDN),网络通信服务、虚拟专用网服务、通信网络建设技术服务,以IDC(互联网数据中心)、CDN(内容分发网络)、APM(应用性能管理)为主的互联网基础云服务。
433,000972,*ST中基,中基健康产业股份有限公司,新疆,五家渠市,1.74亿,-1.01亿,149,2000-09-26,--,,番茄加工,大桶番茄酱、番茄红素胶囊、租赁服务,大包装浓缩番茄酱；去皮番茄和番茄丁、小罐番茄制品；番茄红素胶囊、番茄纤维片生产及销售。
434,000973,佛塑科技,佛山佛塑科技集团股份有限公司,广东,佛山市,24.57亿,1.61亿,3153,2000-05-25,--,,塑料制品,渗析材料、光电材料、阻隔材料,从事各类先进高分子新材料的生产与销售。
435,000975,银泰黄金,银泰黄金股份有限公司,内蒙古,锡林郭勒盟,--,--,1566,2000-06-08,--,,铅锌,有色金属矿采选业、金属商品贸易,贵金属和有色金属矿采选及金属贸易。
436,000976,华铁股份,广东华铁通达高铁装备股份有限公司,广东,江门市,--,--,876,2000-06-01,--,,轨道交通设备,高铁配件产品,轨道交通装备制造。
437,000977,浪潮信息,浪潮电子信息产业股份有限公司,山东,济南市,--,--,7131,2000-06-08,--,,PC、服务器及硬件,服务器及部件、IT终端及散件,服务器等云计算基础设施产品的研发、生产、销售。
438,000978,桂林旅游,桂林旅游股份有限公司,广西,桂林市,2.39亿,-2.34亿,2205,2000-05-18,--,,景区,旅游服务业,游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务等。
439,000980,*ST众泰,众泰汽车股份有限公司,浙江,金华市,--,--,2143,2000-06-16,--,,乘用车,交通运输设备、门业产品,汽车整车研发、制造及销售。
440,000981,*ST银亿,银亿股份有限公司,甘肃,兰州市,--,--,10973,2000-06-22,--,,房地产开发,汽车零部件、房产销售、物业管理,高端制造业和房地产业。
441,000982,中银绒业,宁夏中银绒业股份有限公司,宁夏,银川市,4.33亿,4126.77万,177,2000-07-06,--,,纺织面料,纺织品,羊绒和羊绒制品贸易，并通过并购进入新能源锂电池正负极材料生产和销售。
442,000983,山西焦煤,山西焦煤能源集团股份有限公司,山西,太原市,--,--,33152,2000-07-26,--,,煤炭开采洗选,煤炭、电力热力、焦炭及化工产品,煤炭的生产、洗选加工、销售及发供电，矿山开发设计施工、矿用及电力器材生产经营等。
443,000985,大庆华科,大庆华科股份有限公司,黑龙江,大庆市,--,--,596,2000-07-26,--,,其他化学制品,化工、药品,石油化工产品的生产和销售，同时还包括进出口业务、仓储保管服务等其它业务。
444,000987,越秀金控,广州越秀金融控股集团股份有限公司,广东,广州市,133.14亿,33.30亿,1097,2000-07-18,--,,其他非银行金融,不良资产管理、投资管理、融资租赁、期货,不良资产管理、融资租赁、私募基金管理和资本投资等业务。
445,000988,华工科技,华工科技产业股份有限公司,湖北,武汉市,101.67亿,7.48亿,8270,2000-06-08,--,,电子零部件,激光加工及系列成套设备、光电器件系列产品、激光全息防伪系列产品、敏感元器件,激光技术及其应用
446,000989,九芝堂,九芝堂股份有限公司,湖南,长沙市,--,--,4552,2000-06-28,--,,中药生产,中成药、西成药、生物药品,中药研发、生产和销售等业务为核心，逐步探索布局干细胞、中医医疗健康服务、药食同源系列产品等创新业务。
447,000990,诚志股份,诚志股份有限公司,江西,南昌市,--,--,4469,2000-07-06,--,,其他化学制品,工业气体产品、液体化学产品,"工业气体及基础化工原料的综合运营,半导体显示材料的生产,销售生命科技产品的生产和销售以及工业大麻的种植,研究,加工及其产品的销售。"
448,000993,闽东电力,福建闽东电力股份有限公司,福建,宁德市,5.83亿,1.18亿,1702,2000-07-31,--,,水电,电力销售、商品房销售（住宅）、贸易业务,电力生产与开发。
449,000995,皇台酒业,甘肃皇台酒业股份有限公司,甘肃,武威市,--,--,388,2000-08-07,--,,白酒,粮食白酒、葡萄酒、鲜葡萄、葡萄原汁,白酒酿造与销售；葡萄酒酿造与销售；酿酒葡萄种植。
450,000996,中国中期,中国中期投资股份有限公司,北京,北京市,--,--,67,2000-07-18,--,,汽车服务,汽车服务业务、零售业务、基金业务,汽车服务业务。
451,000997,新大陆,新大陆数字技术股份有限公司,福建,福州市,--,--,6570,2000-08-07,--,,专用计算机设备,制造业、服务业,通过商户服务平台，为商户提供第三方支付服务、金融服务等商户综合运用服务；为电子支付行业和信息识别行业客户提供终端产品和系统解决方案；为移动通信行业和高速公路行业客户提供软件和系统开发等信息化服务。
452,000998,隆平高科,袁隆平农业高科技股份有限公司,湖南,长沙市,--,--,2763,2000-12-11,--,,种子,水稻种子、玉米种子,农作物高科技种子及种苗的研发、繁育、推广及服务。
453,000999,华润三九,华润三九医药股份有限公司,广东,深圳市,153.20亿,20.81亿,15420,2000-03-09,--,,中药生产,医药产品,医药产品的研发、生产、销售及相关健康服务。
454,001201,东瑞股份,东瑞食品集团股份有限公司,广东,河源市,--,--,837,2021-04-28,--,,--,生猪类产品、饲料类产品,生猪的养殖和销售。
455,001202,炬申股份,广东炬申物流股份有限公司,广东,佛山市,--,--,292,2021-04-29,--,,--,运输业务、仓储综合业务,为客户提供有色金属的运输服务（包括自有运输服务和货运代理服务）、仓储及其增值服务等综合物流服务。
456,001203,大中矿业,内蒙古大中矿业股份有限公司,内蒙古,巴彦淖尔市,48.95亿,16.25亿,3149,2021-05-10,--,,--,铁精粉、球团,铁矿石采选、铁精粉和球团生产销售、副产品机制砂石的加工销售。
457,001205,盛航股份,南京盛航海运股份有限公司,江苏,南京市,6.13亿,1.30亿,462,2021-05-13,--,,--,化学品运输业务、油品运输业务,从事国内沿海、长江中下游液体化学品、成品油水上运输业务。
458,001206,依依股份,天津市依依卫生用品股份有限公司,天津,天津市,--,--,1138,2021-05-18,--,,--,卫生护理用品、无纺布,一次性卫生护理用品及无纺布的研发、生产和销售。
459,001207,联科科技,山东联科科技股份有限公司,山东,潍坊市,--,--,556,2021-06-23,--,,--,二氧化硅、炭黑、硅酸钠,从事二氧化硅和炭黑的研发、生产与销售。
460,001208,华菱线缆,湖南华菱线缆股份有限公司,湖南,湘潭市,--,--,592,2021-06-24,--,,--,电缆,电线电缆的研发、生产及销售。
461,001209,洪兴股份,广东洪兴实业股份有限公司,广东,汕头市,--,--,1764,2021-07-23,--,,--,家居服、内衣内裤,家居服饰的研发、设计、生产及销售。
462,001210,金房节能,北京金房暖通节能技术股份有限公司,北京,北京市,--,--,696,2021-07-29,--,,--,供热运营服务、节能改造服务、节能产品,供热运营服务、供热领域节能改造服务和节能产品的研发、生产与销售。
463,001211,双枪科技,双枪科技股份有限公司,浙江,杭州市,--,--,1268,2021-08-05,--,,--,品筷子、砧板、签类、勺铲,日用餐厨具的生产、销售。
464,001212,中旗新材,广东中旗新材料股份有限公司,广东,佛山市,--,--,969,2021-08-23,--,,--,人造石英石板材、人造石英石台面,专业从事人造石英石装饰材料的研发、生产、销售和服务。
465,001213,中铁特货,中铁特货物流股份有限公司,北京,北京市,--,--,3386,2021-09-08,--,,--,商品汽车物流、冷链物流、大件货物物流,从事商品汽车物流、冷链物流和大件货物物流业务。
466,001215,千味央厨,郑州千味央厨食品股份有限公司,河南,郑州市,--,--,2074,2021-09-06,--,,--,定制化和标准化的速冻面米制品,面向餐饮企业的速冻面米制品的研发、生产和销售。
467,001216,华瓷股份,湖南华联瓷业股份有限公司,湖南,株洲市,12.04亿,1.40亿,5338,2021-10-19,--,,--,日用陶瓷、工业陶瓷,日用陶瓷制品的研发、设计、生产和销售。
468,001217,华尔泰,安徽华尔泰化工股份有限公司,安徽,池州市,--,--,907,2021-09-29,--,,--,基础化工产品、精细化工产品,化工产品的研发、生产与销售。
469,001218,丽臣实业,湖南丽臣实业股份有限公司,湖南,长沙市,27.49亿,1.79亿,716,2021-10-15,--,,--,表面活性剂、洗涤,表面活性剂和洗涤用品的研发、生产、销售。
470,001219,青岛食品,青岛食品股份有限公司,山东,青岛市,--,--,614,2021-10-21,--,,--,钙奶饼干、休闲饼干、花生酱,饼干与花生酱等休闲食品的研发、生产及销售。
471,001227,兰州银行,兰州银行股份有限公司,--,--,--,--,4032,2022-01-17,--,,--,公司银行业务、个人银行业务、资金业务,公司银行业务、零售银行业务和资金业务等。
472,001228,永泰运,永泰运化工物流股份有限公司,--,--,21.45亿,1.75亿,607,--,--,,--,跨境化工物流服务、仓储堆存、道路运输,跨境化工物流供应链服务。
473,001234,泰慕士,江苏泰慕士针纺科技股份有限公司,--,--,--,--,2181,2022-01-11,--,,--,针织服装、针织面料,针织面料与针织服装的研发、生产和销售。
474,001266,宏英智能,上海宏英智能科技股份有限公司,--,--,5.02亿,1.30亿,408,2022-02-28,--,,--,智能电控产品、智能电控总成,智能电控产品及智能电控总成的研发、生产、销售。
475,001267,汇绿生态,汇绿生态科技集团股份有限公司,--,--,--,--,403,2021-11-17,--,,--,林工程施工、园林景观设计、苗木种植,园林工程施工、园林景观设计及苗木种植等，能够完整的提供从苗木种植、园林工程设计、施工及后续绿化养护等全产业链服务。
476,001288,运机集团,四川省自贡运输机械集团股份有限公司,--,--,--,--,775,2021-11-01,--,,--,通用带式输送机、管状带式输送机、水平转弯带式输送机,从事以带式输送机为主的节能环保型输送机械成套设备的研发、设计、生产和销售。
477,001289,龙源电力,龙源电力集团股份有限公司,--,--,372.08亿,72.63亿,8053,2022-01-24,--,,--,电力,在中国风资源丰富的地区设计、开发、建设、管理及运营风电场，并向各地方电网公司销售电力。
478,001296,长江材料,重庆长江造型材料(集团)股份有限公司,--,--,--,--,846,2021-12-24,--,,--,柴油机系列、覆膜砂系列,"铸造用硅砂,覆膜砂和砂芯的研发,生产和销售；铸造废(旧)砂再生技术和设备的研发,生产；压裂支撑剂的研发,生产和销售。"
479,001308,康冠科技,深圳市康冠科技股份有限公司,--,--,118.89亿,9.24亿,6104,2022-03-18,--,,--,智能交互显示产品、智能电视,智能显示产品的研发、生产以及销售。
480,001313,粤海饲料,广东粤海饲料集团股份有限公司,--,--,--,--,3433,2022-02-16,--,,--,特种水产配合饲料、普通水产配合饲料,从事水产饲料研发、生产及销售，并以虾料、海水鱼料等特种水产饲料为主。
481,001317,三羊马,三羊马(重庆)物流股份有限公司,--,--,--,--,807,2021-11-30,--,,--,汽车整车综合物流服务、非汽车商品综合物流服务、仓储服务,从事汽车整车综合运输服务业务、非汽车商品综合运输服务业务、仓储服务。
482,001696,宗申动力,重庆宗申动力机械股份有限公司,重庆,重庆市,93.64亿,5.21亿,7656,1997-03-06,--,,汽车零部件,发动机、通机、产品零部件,从事小型热动力机械产品及部分终端产品的研发、制造、销售。
483,001872,招商港口,招商局港口集团股份有限公司,广东,深圳市,152.84亿,76.55亿,15892,1993-05-05,--,,--,港口装卸仓储业务、港口配套业务、保税物流业务,从事集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
484,001896,豫能控股,河南豫能控股股份有限公司,河南,郑州市,--,--,2409,1998-01-22,--,,火电,发电、供热、煤炭,火电项目的投资管理、煤炭物流、新能源、综合能源服务等。
485,001914,招商积余,招商局积余产业运营服务股份有限公司,广东,深圳市,105.91亿,4.53亿,44761,1994-09-28,--,,--,物业管理业务、资产管理业务,物业资产管理与服务。
486,001965,招商公路,招商局公路网络科技控股股份有限公司,天津,天津市,86.26亿,55.41亿,5459,2017-12-25,--,,--,投资运营、交通科技、智慧交通,公路相关的经营收费公路业务和交通科技业务。
487,001979,招商蛇口,招商局蛇口工业区控股股份有限公司,广东,深圳市,1606.43亿,152.02亿,54735,2015-12-30,--,,房地产开发,园区开发与运营、社区开发与运营、邮轮产业建设与运营,园区开发与运营、社区开发与运营、邮轮产业建设与运营。
488,002001,新和成,浙江新和成股份有限公司,浙江,绍兴市,--,--,10100,2004-06-25,--,,化学原料药,营养品、香精香料,营养品、香精香料、高分子新材料的生产和销售。
489,002002,鸿达兴业,鸿达兴业股份有限公司,江苏,扬州市,--,--,4951,2004-06-25,--,,其他化学制品,PVC新材料、环境修复工程服务、防疫产品、工业原材料现货电子交易、综合物流服务及信息技术支持、稀土新材料,氢能源产业、化工产业、新材料产业、大环保产业、电子交易平台综合服务。
490,002003,伟星股份,浙江伟星实业发展股份有限公司,浙江,台州市,--,--,7785,2004-06-25,--,,服饰辅料,纺织服装、服饰、软件和信息技术服务,从事各类中高档服饰辅料产品的研发、生产与销售。
491,002004,华邦健康,华邦生命健康股份有限公司,重庆,重庆市,123.59亿,9.25亿,12206,2004-06-25,--,,农药,医药业务、医疗业务、农化业务,医药及农化、新材料产品的研发、生产、销售，医疗服务、旅游投资及运营业务。
492,002005,ST德豪,安徽德豪润达电气股份有限公司,安徽,蚌埠市,--,--,7407,2004-06-25,--,,LED,小家电、LED产品,小家电业务和LED封装业务。
493,002006,精功科技,浙江精功科技股份有限公司,浙江,绍兴市,17.28亿,1.03亿,1232,2004-06-25,--,,其他专用机械,太阳能光伏专用装备、新型建筑节能专用设备、轻纺专用设备、碳纤维及复合材料装备、机器人及智能装备、精密制造加工业务及军民融合项目开发,从事碳纤维及复合材料装备、机器人及智能装备、太阳能光伏专用装备、新型建筑节能专用设备、轻纺专用设备等高新技术产品的研制开发、生产销售和技术服务以及精密制造加工业务和军民融合项目开发。
494,002007,华兰生物,华兰生物工程股份有限公司,河南,新乡市,44.36亿,14.54亿,2927,2004-06-25,--,,生物医药,血液制品业务、疫苗制品、创新药和生物类似药,血液制品、疫苗、基因工程产品研发、生产和销售。
495,002008,大族激光,大族激光科技产业集团股份有限公司,广东,深圳市,163.32亿,20.80亿,15460,2004-06-25,--,,电子零部件,其他专用设备,主要从事激光加工设备的研发、生产与销售。
496,002009,天奇股份,天奇自动化工程股份有限公司,江苏,无锡市,--,--,2943,2004-06-29,--,,智能装备,智能装备、循环装备、汽车后市场、重工装备,以汽车智能装备、智能仓储、散料输送及智慧工业服务为主的智能装备产业;以废钢加工设备、报废汽车拆解设备、有色金属加工及分选设备为主的循环装备产业;以报废汽车回收拆解、汽车核心零部件再制造及动力电池回收资源化利用为主的汽车后市场产业;以风电铸件业务为主的重工装备产业。
497,002010,传化智联,传化智联股份有限公司,浙江,杭州市,--,--,5189,2004-06-29,--,,印染化学品,化工、物流,传化网智能物流业务与化工业务。
498,002011,盾安环境,浙江盾安人工环境股份有限公司,浙江,杭州市,--,--,11284,2004-07-05,--,,制冷配件,制冷配件业务、商用制冷空调设备业务,包括制冷元器件、制冷空调设备的研发、生产和销售。
499,002012,凯恩股份,浙江凯恩特种材料股份有限公司,浙江,丽水市,18.30亿,1.50亿,1076,2004-07-05,--,,造纸,电气及工业用配套材料、过滤材料、特种包装材料、信息科技服务,研发、生产、销售高附加值纸基功能材料以及在消费金融领域为企业级客户提供信息科技服务。
500,002013,中航机电,中航工业机电系统股份有限公司,湖北,襄阳市,149.92亿,13.50亿,29118,2004-07-05,--,,航空装备,航空机电产品,航空机电产品的设计研发、生产制造、市场开拓、售后服务、维修保障。
501,002014,永新股份,黄山永新股份有限公司,安徽,黄山市,30.24亿,3.21亿,2131,2004-07-08,--,,包装印刷,彩印包装材料、镀铝包装材料、塑料软包装薄膜、油墨、其他,生产彩印复合软包装材料。
502,002015,协鑫能科,协鑫能源科技股份有限公司,江苏,苏州市,--,--,2987,2004-07-08,--,,涤纶,电力销售、蒸汽销售、色纺产品,清洁能源发电、热电联产及综合能源服务。
503,002016,世荣兆业,广东世荣兆业股份有限公司,广东,珠海市,--,--,886,2004-07-08,--,,房地产开发,房地产,房地产开发经营。
504,002017,东信和平,东信和平科技股份有限公司,广东,珠海市,--,--,1631,2004-07-13,--,,通信终端设备,智能卡产品、数字身份及安全产品、行业系统解决方案,数字信息安全产品及系统解决方案。
505,002019,亿帆医药,亿帆医药股份有限公司,浙江,杭州市,--,--,4123,2004-07-13,--,,生物医药,医药产品、原料药、高分子材料,医药产品、原料药和高分子材料的研发、生产、销售及药品推广服务。
506,002020,京新药业,浙江京新药业股份有限公司,浙江,绍兴市,33.36亿,6.15亿,3490,2004-07-15,--,,化学原料药,心脑血管药物、神经系统药物、消化系统药物、喹诺酮类抗感染原料药、他汀类原料药、精神类原料药,化学制剂、传统中药、生物制剂、化学原料药、医疗器械的研发、生产及销售。
507,002021,ST中捷,中捷资源投资股份有限公司,浙江,台州市,--,--,1060,2004-07-15,--,,纺织服装机械,工业缝制机械,中、高档工业缝制机械的研发、生产和销售业务。
508,002022,科华生物,上海科华生物工程股份有限公司,上海,上海市,--,--,1922,2004-07-21,--,,生物医药,诊断用品,体外诊断试剂、医疗检验仪器的研发、生产和销售。
509,002023,海特高新,四川海特高新技术股份有限公司,四川,成都市,--,--,1254,2004-07-21,--,,航空装备,高端核心装备研制与保障、高性能集成电路设计与制造、飞行培训、微电子,高端核心装备研制与保障、高性能第二代/第三代集成电路设计与制造、航空工程技术与服务。
510,002024,苏宁易购,苏宁易购集团股份有限公司,江苏,南京市,--,--,45598,2004-07-21,--,,专业连锁,通讯产品、日用百货、小家电产品、冰箱、洗衣机、空调产品、数码电脑产品、黑电产品、物流服务、金融服务、安装维修业务,家用电器及消费类电子的销售和服务。
511,002025,航天电器,贵州航天电器股份有限公司,贵州,贵阳市,--,--,4782,2004-07-26,--,,电子零部件,连接器、微特电机、继电器、光通信器件,高端继电器、连接器、微特电机、光电子产品、电缆组件的研制、生产和销售。
512,002026,山东威达,山东威达机械股份有限公司,山东,威海市,--,--,2957,2004-07-27,--,,基础件,电动工具配件、粉末冶金件、锯片产品、机床、自动设备,"钻夹头,电动工具开关,粉末冶金件,精密铸造制品,锯片,机床及附件,智能制造系统集成及智能装备的研发,生产和销售。"
513,002027,分众传媒,分众传媒信息技术股份有限公司,广东,广州市,--,--,6779,2004-08-04,--,,网络媒体,楼宇媒体、影院媒体,生活圈媒体的开发和运营。
514,002028,思源电气,思源电气股份有限公司,上海,上海市,--,--,5602,2004-08-05,--,,电气自控设备,开关类、线圈类、无功补偿类、智能设备类,输配电设备的研发、生产、销售及服务。
515,002029,七匹狼,福建七匹狼实业股份有限公司,福建,泉州市,35.14亿,2.73亿,2525,2004-08-06,--,,男装,服装、信息技术及服务、其他,“七匹狼”品牌男装及针纺类产品的设计、生产和销售。
516,002030,达安基因,广州达安基因股份有限公司,广东,广州市,76.64亿,36.18亿,2713,2004-08-09,--,,生物医药,试剂类、仪器类、检测服务,以分子诊断技术为主导的，集临床检验试剂和仪器的研发、生产、销售以及全国连锁医学独立实验室临床检验服务。
517,002031,巨轮智能,巨轮智能装备股份有限公司,广东,揭阳市,--,--,2202,2004-08-16,--,,智能装备,轮胎模具、液压式硫化机、模具软件开发设计、机器人及智能装备、精密机床、融资租赁、保理业务,轮胎专用制造设备的研发、生产和销售。
518,002032,苏泊尔,浙江苏泊尔股份有限公司,浙江,杭州市,215.85亿,19.41亿,11840,2004-08-17,--,,小家电,明火炊具品类、厨房小家电品类、厨卫电器品类、生活家居电器类,厨房用具、不锈钢制品、日用五金、小型家电及炊具的研发、生产和销售。
519,002033,丽江股份,丽江玉龙旅游股份有限公司,云南,丽江市,3.58亿,-3760.34万,1666,2004-08-25,--,,景区,旅游索道、印象丽江文艺演出、酒店、其他业务,旅游索道、印象丽江文艺演出、酒店、其他业务。
520,002034,旺能环境,旺能环境股份有限公司,浙江,湖州市,--,--,1901,2004-08-26,--,,印染,生活及餐厨垃圾项目运行、污泥处置、环保设备安装、房租,"采用BOT、BOO、PPP等投资运营模式,承接全国各地生活垃圾焚烧发电、餐厨垃圾处理、污泥处理处置及其他固体废物资源综合利用等环保项目。"
521,002035,华帝股份,华帝股份有限公司,广东,中山市,--,--,4720,2004-09-01,--,,小家电,厨卫电器、环境电器、全屋定制产品,从事高端智能厨电、卫浴产品、定制家居等的研发、生产、销售。
522,002036,联创电子,联创电子科技股份有限公司,江西,南昌市,--,--,8008,2004-09-03,--,,光学元件,触控显示、光学元件、集成电路、终端制造,从事研发、生产及销售为智能手机、平板电脑、智能驾驶、运动相机、智能家居、VR/AR等配套的光学镜头、摄像模组及触控显示一体化等关键光学、光电子产品及智能终端产品制造。
523,002037,保利联合,保利联合化工控股集团股份有限公司,贵州,贵阳市,--,--,7854,2004-09-08,--,,民爆用品,民爆产品、爆破及工程施工,民爆器材产品研发、生产、销售、爆破、配送、工程技术服务、设计及施工等一体化经营业务。
524,002038,双鹭药业,北京双鹭药业股份有限公司,北京,北京市,--,--,757,2004-09-09,--,,生物医药,生物、生化药、化学药,基因工程及相关药物的研究开发和生产经营。
525,002039,黔源电力,贵州黔源电力股份有限公司,贵州,贵阳市,20.36亿,4.26亿,734,2005-03-03,--,,水电,电力、其他,水力发电站(厂)的开发建设与经营管理
526,002040,南京港,南京港股份有限公司,江苏,南京市,--,--,1058,2005-03-25,--,,港口,交通运输服务,提供原油、成品油、液体化工产品及普通货物的装卸、仓储服务、为船舶提供码头、在港区内提供物流服务。
527,002041,登海种业,山东登海种业股份有限公司,山东,烟台市,--,--,723,2005-04-18,--,,种子,农作物种子,农作物新品种选育、许可证规定经营范围内的农作物种子生产、分装、销售。
528,002042,华孚时尚,华孚时尚股份有限公司,安徽,淮北市,--,--,15906,2005-04-27,--,,棉纺,纱线、网链、祙制品,主营中高档色纺纱线，配套提供高档新型的坯纱、染色纱，同时提供流行趋势、原料与产品认证、技术咨询等增值服务。
529,002043,兔宝宝,德华兔宝宝装饰新材股份有限公司,浙江,湖州市,--,--,3806,2005-05-10,--,,其他建材,装饰材料、成品家具、科技木、电商运营、品牌授权,装饰材料和成品家居的研发、生产和销售。
530,002044,美年健康,美年大健康产业控股股份有限公司,江苏,南通市,--,--,34950,2005-05-18,--,,医疗服务,医疗行业,健康体检服务。
531,002045,国光电器,国光电器股份有限公司,广东,广州市,--,--,3452,2005-05-23,--,,电子零部件,音箱及扬声器、电池、电子零配件,音响电声类业务及锂电池业务。
532,002046,国机精工,国机精工股份有限公司,河南,郑州市,--,--,1747,2005-05-26,--,,基础件,轴承行业、磨料磨具行业、贸易、工程承包,轴承行业、磨料磨具行业及相关领域的研发制造、行业服务与技术咨询、贸易服务等。
533,002047,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司,广东,深圳市,--,--,2129,2005-05-31,--,,装修装饰,装修装饰,综合建筑装饰装修工程设计及施工。
534,002048,宁波华翔,宁波华翔电子股份有限公司,浙江,宁波市,--,--,15449,2005-06-03,--,,汽车零部件,汽车配件,从事汽车零部件的开发、生产和销售。
535,002049,紫光国微,紫光国芯微电子股份有限公司,河北,唐山市,--,--,1899,2005-06-06,--,,集成电路,智能安全芯片业务、特种集成电路业务、半导体功率器件业务、石英晶体频率器件业务,"集成电路芯片设计与销售,压电石英晶体元器件的开发、生产和销售,LED蓝宝石衬底材料生产和销售。"
536,002050,三花智控,浙江三花智能控制股份有限公司,浙江,绍兴市,160.21亿,17.05亿,14478,2005-06-07,--,,制冷配件,制冷空调电器零部件、汽车零部件,制冷空调电器零部件业务和汽车零部件业务。
537,002051,中工国际,中工国际工程股份有限公司,北京,北京市,86.40亿,2.61亿,4456,2006-06-19,--,,专业工程,工程承包与成套设备、咨询设计、国内外贸易、装备制造,工程承包、设计咨询、装备研发与制造、投资运营、贸易物流。
538,002052,ST同洲,深圳市同洲电子股份有限公司,广东,深圳市,--,--,357,2006-06-27,--,,机顶盒,通信及相关设备制造业,广电全业务融合云平台、数字电视中间件、智能电视操作系统TVOS、智能数字终端、智能网关、数字电视前端设备等的研发、制造、服务与销售以及与智慧家庭相关的增值业务的开发、集成和运营。
539,002053,云南能投,云南能源投资股份有限公司,云南,昆明市,22.59亿,2.70亿,2411,2006-06-27,--,,调味品,盐业、天然气、风电,"食盐、工业盐、日化盐、芒硝等系列产品的生产销售,天然气管网建设、运营、天然气销售、入户安装服务以及陆上风力发电的运营。"
